id,image_path,interface_burden,group,zone
00028c93df13,images/00028c93df13.jpg,48.139103,150,3
000469a85ab1,images/000469a85ab1.jpg,47.78352,268,2
0007ace41027,images/0007ace41027.jpg,46.889527,137,2
00120050cddf,images/00120050cddf.jpg,47.91948,266,2
001ea8d69641,images/001ea8d69641.jpg,50.795155,255,3
004eec7c59ba,images/004eec7c59ba.jpg,4.0,218,0
006872f62513,images/006872f62513.jpg,65.445156,247,3
00891e27de0d,images/00891e27de0d.jpg,47.283467,243,2
00b440a8ccf1,images/00b440a8ccf1.jpg,60.559468,115,3
00b883107009,images/00b883107009.jpg,48.086044,154,3
00cacb7fbf19,images/00cacb7fbf19.jpg,61.655076,178,3
00cb62a5370f,images/00cb62a5370f.jpg,66.16535,270,3
00d8176ab01b,images/00d8176ab01b.jpg,58.849708,10,3
00ea483e8ba5,images/00ea483e8ba5.jpg,61.692695,258,3
00fdf083264d,images/00fdf083264d.jpg,50.041667,13,3
010188719e2c,images/010188719e2c.jpg,48.459726,182,3
0104e0ba3f61,images/0104e0ba3f61.jpg,4.0,269,0
0112e7b42f5c,images/0112e7b42f5c.jpg,4.0,10,0
01207f8e3f9c,images/01207f8e3f9c.jpg,47.283467,243,2
0121b5c57eb2,images/0121b5c57eb2.jpg,30.250625,246,1
0147b711cfc0,images/0147b711cfc0.jpg,47.78352,268,2
0151b61501aa,images/0151b61501aa.jpg,45.401358,148,2
017f59d249a0,images/017f59d249a0.jpg,46.954857,10,2
019a4542ec08,images/019a4542ec08.jpg,4.0,189,0
01a9f64d02fb,images/01a9f64d02fb.jpg,47.772354,170,2
01bcce512343,images/01bcce512343.jpg,28.0,260,1
01bf4a8aa627,images/01bf4a8aa627.jpg,27.245549,271,1
01c6d463f881,images/01c6d463f881.jpg,25.832329,260,1
01d1372bbb28,images/01d1372bbb28.jpg,65.445156,247,3
01e52ef64cd7,images/01e52ef64cd7.jpg,46.006276,265,2
01fdf290b671,images/01fdf290b671.jpg,44.126016,261,2
020a6ca5420a,images/020a6ca5420a.jpg,47.78352,268,2
020e834e3ae2,images/020e834e3ae2.jpg,61.692695,258,3
02206a76f92a,images/02206a76f92a.jpg,46.85112,248,2
0224e83d4b58,images/0224e83d4b58.jpg,4.0,71,0
0225857207cf,images/0225857207cf.jpg,50.142773,188,3
0236f3b59966,images/0236f3b59966.jpg,65.445156,247,3
025775368a70,images/025775368a70.jpg,61.692695,258,3
02801e3beec7,images/02801e3beec7.jpg,44.126016,261,2
028f3c279361,images/028f3c279361.jpg,50.795155,255,3
0292c1806221,images/0292c1806221.jpg,47.772354,170,2
029de596bdc1,images/029de596bdc1.jpg,47.731673,195,2
02a7875f915f,images/02a7875f915f.jpg,32.163341,267,1
02aebc181e64,images/02aebc181e64.jpg,47.184219,243,2
02c1bd87d73c,images/02c1bd87d73c.jpg,47.772354,170,2
02c2d91789a2,images/02c2d91789a2.jpg,61.981287,132,3
03017ec6687d,images/03017ec6687d.jpg,50.795155,255,3
0307c551a60a,images/0307c551a60a.jpg,0.0,68,0
030c2b54be6b,images/030c2b54be6b.jpg,4.0,10,0
03110100b90f,images/03110100b90f.jpg,52.592831,248,3
0325447ee424,images/0325447ee424.jpg,61.692695,258,3
032ced7e79ef,images/032ced7e79ef.jpg,48.029351,150,3
032ffbcb2cab,images/032ffbcb2cab.jpg,46.172883,265,2
03314c385e0a,images/03314c385e0a.jpg,61.692695,258,3
034411c84784,images/034411c84784.jpg,4.0,228,0
034b25df0085,images/034b25df0085.jpg,47.747842,213,2
035b2afb31a0,images/035b2afb31a0.jpg,27.246714,232,1
0372fb36332d,images/0372fb36332d.jpg,47.293422,10,2
0392f8ad536b,images/0392f8ad536b.jpg,32.163341,267,1
039f1a2d20a1,images/039f1a2d20a1.jpg,4.0,248,0
03a7ba893233,images/03a7ba893233.jpg,0.0,118,0
03af4b669103,images/03af4b669103.jpg,47.823675,172,2
03bbe8b1a4d3,images/03bbe8b1a4d3.jpg,47.846504,262,2
03d6d8677221,images/03d6d8677221.jpg,31.404094,267,1
03e1ef94457e,images/03e1ef94457e.jpg,58.988917,216,3
03fc24e049ae,images/03fc24e049ae.jpg,45.720766,10,2
040495213254,images/040495213254.jpg,53.208938,242,3
041b109d401a,images/041b109d401a.jpg,47.756154,257,2
04229511989a,images/04229511989a.jpg,4.0,10,0
043ba25ca426,images/043ba25ca426.jpg,50.142773,188,3
04534998e19e,images/04534998e19e.jpg,4.0,251,0
045d09ec3819,images/045d09ec3819.jpg,47.91948,266,2
046671f774ed,images/046671f774ed.jpg,4.0,228,0
0469f0e53b0c,images/0469f0e53b0c.jpg,4.0,10,0
047156a4c905,images/047156a4c905.jpg,47.78352,268,2
0474b2c39317,images/0474b2c39317.jpg,30.250625,246,1
047e00102e98,images/047e00102e98.jpg,61.692695,258,3
048565ac1b1a,images/048565ac1b1a.jpg,32.979939,253,1
0485a236f155,images/0485a236f155.jpg,65.445156,247,3
04863c9ffdf1,images/04863c9ffdf1.jpg,66.827561,254,3
048d293341db,images/048d293341db.jpg,47.788986,235,2
04c0c6276b4a,images/04c0c6276b4a.jpg,27.245549,271,1
04d205a19a23,images/04d205a19a23.jpg,4.0,0,0
04d3e535a1e5,images/04d3e535a1e5.jpg,4.0,218,0
04e3435437d7,images/04e3435437d7.jpg,61.692695,258,3
05025c172ebf,images/05025c172ebf.jpg,4.0,152,0
05051fcc1d72,images/05051fcc1d72.jpg,44.924355,10,2
050fd35d37e4,images/050fd35d37e4.jpg,50.795155,255,3
051a611b1f16,images/051a611b1f16.jpg,50.433723,264,3
052affb1da6a,images/052affb1da6a.jpg,57.799638,216,3
0537f24d5627,images/0537f24d5627.jpg,31.404094,267,1
053e38cc727e,images/053e38cc727e.jpg,46.006276,265,2
054066d8f399,images/054066d8f399.jpg,28.0,260,1
0547f0d09ec4,images/0547f0d09ec4.jpg,32.163341,267,1
055b008dabf1,images/055b008dabf1.jpg,49.610923,264,3
055f1a5a34bd,images/055f1a5a34bd.jpg,31.404094,267,1
0573e6c0eace,images/0573e6c0eace.jpg,4.0,251,0
0575bdff77a9,images/0575bdff77a9.jpg,32.163341,267,1
05929b9fa502,images/05929b9fa502.jpg,4.0,160,0
05a61b9806dc,images/05a61b9806dc.jpg,61.692695,258,3
05bcc3e24e1f,images/05bcc3e24e1f.jpg,61.679352,241,3
05c6ca3ca749,images/05c6ca3ca749.jpg,0.0,25,0
