id,interface_burden
0000c416ea24,28.0
00624db32e6c,34.190379
00acf0be9394,48.029351
00bdf00b9346,61.692695
010b6a23ffb3,26.069321641554318
0161d5d34733,50.433723
01804c5aef24,4.0
0191e4a22ad3,66.177195
019c6b1085ab,48.53346842743854
01bdb97b6099,53.423838097938145
01d678e955cd,27.245549
0209d43d48f3,52.68866
024ed1c89d92,0.0
02729ecc9fce,50.433723
02a7ef21fd2b,61.599305
02b9c48b13e0,60.847692
03240d88f646,50.795155
0380178347af,46.85112
038d3ef9443a,4.0
03c42aac5190,48.459726
0411e76ec48b,48.029351
046996b0f1cc,4.0
047180865328,32.163341
0482e1bda62f,66.827561
04cefa1a8e1c,50.795155
051eb12e5919,32.163341
05c00cec0b07,61.692695
05eed672ef69,48.31141
061ccd894d28,4.0
064f75ee79ec,32.979939
0682778384e6,47.138349701030926
06aa8d19f0dc,49.610923
06b86ead9937,53.843117
06dba8c74204,45.900713
06ed600156ea,47.38871997660587
070706467c8b,41.07545243814433
071ac8f99096,46.144677190721644
0728215f1e81,47.78352
074daafaed1d,61.692695
0794ce623a9a,48.138003
079a2fafefcf,48.050318
07b0557eb806,4.0
07fb42214995,28.0
0800e24c89a0,31.391396277557494
083f9ec38ac0,4.0
08408f0f9484,65.445156
08c49ca0e573,47.788986
08f4bd48ecba,45.37698623156224
090696305039,59.39744622997621
0921f4648dbf,27.246714
09567802096b,4.0
09843ab07382,4.0
0991c0b12572,58.854791036082474
09f6a969653b,50.142773
0a40b0418353,4.0
0a6ba4ca35ac,40.870884
0a758562388c,60.768805
0a8aad1229a8,34.190379
0a8fc82dd9b2,61.114882
0ac45cb0e1a3,4.0
0ad1882d437c,33.15257067684378
0add9d81f78b,28.0
0afe4757fb73,60.951546
0b082298a3e3,47.823675
0b2086cf8088,46.968348
0b6768000456,61.692695
0b7c95ae7f66,47.78352
0b838d2da5a4,4.0
0bfbf8f880f9,48.14004265305314
0bff9d851118,32.163341
0c0aab641d67,47.78352
0c238bcb86a3,0.0
0c5f343b86e5,61.692695
0ce0be11b4ea,50.81534496907212
0d2003497f92,28.0
0d76c427740e,30.250625
0d7f04e84d7f,61.612268
0de01e8d1ef0,4.0
0ded635dcf24,4.0
0e45d480d77a,25.178442770420304
0e46e7ee2cf8,47.10999529222839
0e7bf58b6c84,47.78352
0e800e4fd535,4.0
0e8d7b32e602,42.800832
0ea99900f078,48.06914371054718
0edfb4fe7ca8,53.178369
0ee625a7f0a6,39.38921597303727
0f0e64a0057b,4.0
0f43380408c7,50.795155
0f6fc86467ba,4.0
0f8cd8383fd0,50.795155
0f8f7db65c0e,48.86936757256146
0fb93005671f,59.014794
0fbd214977d2,50.588779
1009f2af76ec,49.396307742664554
102f299cc94c,4.0
105eb2fd4dc7,47.124935
1080958ec65d,47.642216
10a3e20037c8,4.0
10aa7d9ca58e,4.0
10e10176ed95,31.404094
115fd157ba1d,44.148421
1177005165d5,46.743843
117e4ddf2efb,43.291759466296604
11928070182d,49.610923
11c603b7b269,4.0
11d9f68941cc,4.0
11fbf17182fe,4.0
122e6e142067,41.651097136796224
129cd488629d,66.848889
12c44c86632c,47.913407
12f7daa90934,61.664037521015075
1318ccb9cd5c,60.847692
133ef24e7a9e,49.751133515860424
1354d3f2360f,50.795155
