id,interface_burden
0000c416ea24,28.0
00624db32e6c,32.308378
00acf0be9394,48.050318
00bdf00b9346,60.847692
010b6a23ffb3,27.245549
0161d5d34733,48.249029
01804c5aef24,4.0
0191e4a22ad3,65.445156
019c6b1085ab,48.029351
01bdb97b6099,53.198781
01d678e955cd,27.246714
0209d43d48f3,60.6241628366376
024ed1c89d92,0.0
02729ecc9fce,61.14776327081681
02a7ef21fd2b,61.61271967049961
02b9c48b13e0,50.795155
03240d88f646,60.847692
0380178347af,46.743843
038d3ef9443a,4.0
03c42aac5190,53.208938
0411e76ec48b,47.895442
046996b0f1cc,4.0
047180865328,32.163341
0482e1bda62f,66.827561
04cefa1a8e1c,50.433723
051eb12e5919,31.404094
05c00cec0b07,61.777617
05eed672ef69,49.125489
061ccd894d28,4.0
064f75ee79ec,31.404094
0682778384e6,46.975221916336245
06aa8d19f0dc,53.345854
06b86ead9937,50.795155
06dba8c74204,46.006276
06ed600156ea,47.124935
070706467c8b,33.219347
071ac8f99096,46.006276
0728215f1e81,47.823675
074daafaed1d,61.599305
0794ce623a9a,47.901863
079a2fafefcf,47.91948
07b0557eb806,4.0
07fb42214995,30.250625
0800e24c89a0,28.0
083f9ec38ac0,4.0
08408f0f9484,65.445156
08c49ca0e573,49.534741
08f4bd48ecba,46.006276
090696305039,53.23066169191118
0921f4648dbf,32.163341
09567802096b,4.0
09843ab07382,4.0
0991c0b12572,52.68866
09f6a969653b,53.178369
0a40b0418353,4.0
0a6ba4ca35ac,47.10999529222839
0a758562388c,50.795155
0a8aad1229a8,32.979939
0a8fc82dd9b2,52.949495
0ac45cb0e1a3,4.0
0ad1882d437c,33.342926261300555
0add9d81f78b,28.0
0afe4757fb73,53.208938
0b082298a3e3,47.867833
0b2086cf8088,46.395266
0b6768000456,61.601185
0b7c95ae7f66,47.78352
0b838d2da5a4,4.0
0bfbf8f880f9,49.26846143616178
0bff9d851118,32.163341
0c0aab641d67,47.731673
0c238bcb86a3,0.0
0c5f343b86e5,61.692695
0ce0be11b4ea,50.433723
0d2003497f92,28.0
0d76c427740e,32.163341
